,Na,Ca,Mg,K,Cl,SO4,HCO3,CO3
NWS001,2140,98.7,154,77.5,3960,161,138,4
NWS002,253,27.4,32.9,6.5,479,8.8,149,0.5
NWS003,255,28.8,34.6,6.7,485,9.2,152,0.5
NWS004,290,33,39.7,7.9,550,10.8,172,0.5
NWS005,238,23.5,29.3,6.3,452,5.6,141,0.5
NWS006,335,57.8,53.1,12.6,617,16.2,320,0.5
